"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.07.2022","7.963,10","8.004,70","8.030,10","7.926,80","156,06M","0,22%"
"15.07.2022","7.945,90","7.821,30","7.969,30","7.806,20","197,82M","1,81%"
"14.07.2022","7.804,30","7.903,80","7.922,20","7.764,90","197,27M","-1,77%"
"13.07.2022","7.944,90","7.991,30","8.002,60","7.891,50","198,61M","-0,87%"
"12.07.2022","8.014,80","8.029,00","8.071,30","7.893,10","365,80M","-0,62%"
"11.07.2022","8.065,20","7.994,40","8.099,80","7.980,40","130,23M","-0,43%"
"08.07.2022","8.100,30","8.099,00","8.137,90","8.034,10","147,63M","-0,27%"
"07.07.2022","8.122,50","8.026,60","8.128,90","7.998,60","200,24M","2,19%"
"06.07.2022","7.948,60","8.040,50","8.061,70","7.939,70","249,44M","-0,14%"
"05.07.2022","7.959,40","8.191,20","8.209,50","7.959,40","193,25M","-2,48%"
"04.07.2022","8.161,80","8.226,20","8.240,40","8.161,80","117,45M","-0,17%"
"01.07.2022","8.176,10","8.043,00","8.206,90","8.027,30","150,84M","0,96%"
"30.06.2022","8.098,70","8.094,80","8.117,20","7.994,20","222,96M","-1,09%"
"29.06.2022","8.188,00","8.236,30","8.262,90","8.159,00","139,28M","-1,56%"
"28.06.2022","8.317,50","8.292,00","8.374,80","8.278,60","127,86M","0,91%"
"27.06.2022","8.242,60","8.266,10","8.309,90","8.185,50","132,60M","-0,02%"
"24.06.2022","8.244,10","8.129,50","8.262,30","8.108,50","174,31M","1,70%"
"23.06.2022","8.106,40","8.097,50","8.172,90","8.034,30","195,48M","-0,48%"
"22.06.2022","8.145,40","8.158,30","8.193,40","8.066,60","162,16M","-1,10%"
"21.06.2022","8.235,60","8.324,50","8.361,40","8.222,80","157,76M","-0,61%"
"20.06.2022","8.286,00","8.180,40","8.297,00","8.159,00","143,71M","1,72%"
"17.06.2022","8.145,90","8.107,60","8.236,00","8.025,60","395,31M","0,84%"
"16.06.2022","8.078,10","8.157,50","8.172,10","8.034,70","162,99M","-1,18%"
"15.06.2022","8.174,70","8.201,20","8.242,20","8.097,70","194,10M","1,34%"
"14.06.2022","8.066,40","8.229,20","8.280,40","8.066,40","175,61M","-1,43%"
"13.06.2022","8.183,30","8.312,90","8.312,90","8.159,00","266,91M","-2,47%"
"10.06.2022","8.390,60","8.662,00","8.671,30","8.362,80","271,50M","-3,68%"
"09.06.2022","8.711,20","8.812,50","8.836,30","8.707,80","174,01M","-1,49%"
"08.06.2022","8.842,70","8.876,70","8.881,60","8.791,00","145,18M","0,01%"
"07.06.2022","8.841,60","8.793,30","8.848,80","8.793,30","139,32M","0,06%"
"06.06.2022","8.836,30","8.785,30","8.852,30","8.768,20","124,14M","1,28%"
"03.06.2022","8.724,80","8.800,70","8.808,20","8.706,40","95,87M","-0,22%"
"02.06.2022","8.744,10","8.778,90","8.793,20","8.709,00","103,69M","-0,04%"
"01.06.2022","8.747,20","8.881,30","8.909,30","8.736,70","163,20M","-1,18%"
"31.05.2022","8.851,50","8.898,80","8.922,80","8.836,90","314,82M","-0,89%"
"30.05.2022","8.930,80","8.975,60","8.992,70","8.905,60","159,28M","-0,03%"
"27.05.2022","8.933,60","8.904,00","8.937,70","8.873,00","194,95M","0,50%"
"26.05.2022","8.888,80","8.787,50","8.901,20","8.780,00","203,82M","1,47%"
"25.05.2022","8.760,20","8.723,10","8.773,90","8.652,20","203,49M","1,49%"
"24.05.2022","8.631,20","8.537,80","8.654,00","8.534,30","207,03M","0,06%"
"23.05.2022","8.625,80","8.600,40","8.625,80","8.514,70","166,88M","1,67%"
"20.05.2022","8.484,50","8.464,90","8.546,90","8.456,10","172,38M","0,93%"
"19.05.2022","8.406,00","8.416,10","8.436,60","8.341,70","155,48M","-0,83%"
"18.05.2022","8.476,40","8.492,80","8.546,40","8.454,80","156,40M","0,01%"
"17.05.2022","8.475,70","8.422,50","8.488,90","8.409,40","156,31M","1,46%"
"16.05.2022","8.353,70","8.316,30","8.383,20","8.284,80","118,78M","0,19%"
"13.05.2022","8.338,10","8.263,40","8.338,10","8.244,70","148,60M","1,68%"
"12.05.2022","8.200,40","8.183,20","8.257,10","8.134,50","202,06M","-1,35%"
"11.05.2022","8.312,60","8.187,10","8.316,80","8.138,50","199,58M","2,13%"
"10.05.2022","8.139,20","8.219,30","8.259,00","8.138,90","204,42M","0,00%"
"09.05.2022","8.139,20","8.280,10","8.358,40","8.139,20","192,93M","-2,20%"
"06.05.2022","8.322,00","8.398,60","8.406,50","8.283,60","314,49M","-1,34%"
"05.05.2022","8.434,70","8.636,70","8.651,20","8.427,60","252,40M","-0,77%"
"04.05.2022","8.500,50","8.594,80","8.612,10","8.498,40","158,31M","-1,04%"
"03.05.2022","8.590,20","8.501,90","8.590,20","8.477,10","173,28M","1,83%"
"02.05.2022","8.436,00","8.516,60","8.563,20","8.350,00","158,84M","-1,73%"
"29.04.2022","8.584,20","8.572,10","8.617,30","8.526,00","218,57M","0,85%"
"28.04.2022","8.512,20","8.515,80","8.554,90","8.415,80","234,74M","0,41%"
"27.04.2022","8.477,70","8.458,80","8.506,90","8.344,90","243,35M","0,46%"
"26.04.2022","8.439,30","8.687,70","8.703,80","8.435,30","321,48M","-1,58%"
"25.04.2022","8.574,60","8.535,60","8.656,10","8.511,10","189,83M","-0,90%"
"22.04.2022","8.652,30","8.712,50","8.788,70","8.652,30","220,99M","-1,84%"
"21.04.2022","8.814,60","8.791,60","8.877,70","8.774,60","208,12M","0,51%"
"20.04.2022","8.769,50","8.713,40","8.816,20","8.706,80","188,72M","0,87%"
"19.04.2022","8.694,00","8.677,00","8.722,20","8.619,10","157,02M","-0,06%"
"14.04.2022","8.699,00","8.626,30","8.756,80","8.606,00","172,58M","0,94%"
"13.04.2022","8.617,80","8.533,40","8.617,80","8.532,90","161,72M","0,46%"
"12.04.2022","8.578,00","8.469,80","8.612,40","8.446,30","194,80M","-0,08%"
"11.04.2022","8.585,00","8.580,90","8.637,20","8.544,00","167,80M","-0,25%"
