country,code,region,region.code,EU,OECD,income.level,income.level.code,life.expectancy,fertility.rate,mortality.rate,pop.growth,pop.rural,pop.0.14,pop.15.24,pop.25.64,pop65.older,GDP.percapita,log.GDP.percapita,GDP.growth
Liberia,LBR,Sub-Saharan Africa,SSA,no,no,Low,L,62.51,4.6,51.2,2.51,49.9,0.42,0.19,0.35,0.03,455.4,6.121,-1.6
Libya,LBY,Middle East & North Africa,ENA,no,no,Upper middle,UM,71.93,2.3,11,0.93,21.25,0.28,0.17,0.5,0.04,5125.7,8.542,-2.795
Lithuania,LTU,Europe & Central Asia,ECA,yes,yes,High,H,74.32,1.7,4.3,-1.27,33.49,0.15,0.12,0.54,0.19,14912.7,9.61,2.345
Luxembourg,LUX,Europe & Central Asia,ECA,yes,yes,High,H,82.29,1.5,2,2.16,9.57,0.16,0.12,0.57,0.14,100738.7,11.52,3.083
Madagascar,MDG,Sub-Saharan Africa,SSA,no,no,Low,L,65.93,4.2,34,2.69,64.26,0.41,0.21,0.35,0.03,401.7,5.996,4.18
Malawi,MWI,Sub-Saharan Africa,SSA,no,no,Low,L,63.22,4.6,38.9,2.9,83.55,0.44,0.21,0.32,0.03,300.3,5.705,2.484
Malaysia,MYS,East Asia & Pacific,EAP,no,no,Upper middle,UM,75.3,2,7.1,1.5,24.63,0.25,0.19,0.5,0.06,9508.2,9.16,4.22
Maldives,MDV,South Asia,SAS,no,no,Upper middle,UM,77.34,2.1,7.3,2.21,53.46,0.23,0.17,0.55,0.04,9871.9,9.197,6.163
Mali,MLI,Sub-Saharan Africa,SSA,no,no,Low,L,57.97,6.1,68,2.97,59.32,0.48,0.19,0.3,0.03,779.9,6.659,5.8
Malta,MLT,Middle East & North Africa,ENA,yes,no,High,H,81.8,1.5,5.9,2.29,4.47,0.14,0.12,0.55,0.19,24770.8,10.117,5.231
Mauritania,MRT,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,63.24,4.7,54.4,2.8,39.55,0.4,0.19,0.37,0.03,1101.9,7.005,2
